Season,Daynum,Wteam,Wscore,Lteam,Lscore,Wloc,Numot,Wfgm,Wfga,Wfgm3,Wfga3,Wftm,Wfta,Wor,Wdr,Wast,Wto,Wstl,Wblk,Wpf,Lfgm,Lfga,Lfgm3,Lfga3,Lftm,Lfta,Lor,Ldr,Last,Lto,Lstl,Lblk,Lpf
2009,134,1287,58,1106,43,N,0,18,50,4,15,18,24,16,34,13,21,6,2,14,18,58,2,15,5,11,9,18,4,13,7,6,18
2009,136,1163,103,1151,47,N,0,37,71,6,24,23,39,17,41,28,10,12,6,11,17,66,5,25,8,10,9,25,11,19,5,2,27
2009,136,1181,86,1127,62,N,0,28,57,9,20,21,25,17,21,21,15,6,3,14,27,51,7,15,1,5,6,14,9,18,9,4,21
2009,136,1211,77,1103,64,N,0,23,44,5,15,26,31,7,27,15,8,5,5,18,21,57,10,23,12,18,11,15,15,8,0,1,23
2009,136,1261,75,1139,71,N,0,27,55,6,14,15,21,9,21,14,11,11,8,20,22,52,8,23,19,26,13,21,12,15,3,1,20
2009,136,1268,84,1143,71,N,0,31,63,6,16,16,24,16,20,18,9,5,1,17,25,59,7,24,14,19,14,21,12,14,2,2,22
2009,136,1272,81,1169,70,N,0,29,59,11,28,12,21,12,23,19,14,14,3,16,24,54,7,18,15,20,10,22,10,17,8,2,18
2009,136,1276,62,1155,59,N,0,20,51,10,26,12,15,9,24,16,14,5,3,11,21,65,5,22,12,14,21,23,14,11,8,7,19
2009,136,1314,101,1347,58,N,0,38,84,5,14,20,24,20,39,17,12,11,8,13,22,80,5,17,9,14,20,28,9,18,9,6,17
2009,136,1328,82,1288,54,N,0,29,48,4,12,20,32,7,38,15,15,5,6,11,22,77,6,23,4,8,20,16,10,7,9,1,24
2009,136,1345,61,1320,56,N,0,21,52,3,15,16,22,10,22,11,10,8,3,13,20,54,7,22,9,11,9,21,13,14,6,3,20
2009,136,1400,76,1278,62,N,0,27,57,11,20,11,19,14,27,12,14,6,1,18,22,54,4,13,14,19,8,22,12,12,6,2,20
2009,136,1401,79,1140,66,N,0,30,52,6,17,13,19,7,28,20,14,2,6,15,23,59,7,16,13,18,7,19,15,10,11,1,20
2009,136,1417,65,1433,64,N,0,21,52,6,12,17,19,9,24,9,12,9,1,20,20,49,6,15,18,25,10,21,14,12,5,4,17
2009,136,1437,80,1110,67,N,0,24,50,6,18,26,29,10,28,15,16,8,8,12,27,62,10,31,3,5,7,17,16,12,8,1,24
2009,136,1443,76,1228,72,N,0,27,56,9,19,13,22,9,28,13,15,8,4,12,31,63,5,18,5,7,5,24,14,12,9,3,24
2009,136,1449,71,1280,58,N,0,27,62,2,9,15,21,17,28,13,15,5,0,21,20,58,5,18,13,19,14,21,5,17,5,5,22
2009,137,1112,84,1428,71,N,0,30,55,4,12,20,28,11,23,11,14,13,2,15,27,64,8,32,9,13,16,19,16,20,7,3,22
2009,137,1113,66,1396,57,N,0,20,39,8,14,18,24,3,24,12,11,4,1,14,19,51,6,17,13,17,9,20,13,9,5,4,16
2009,137,1156,84,1448,69,N,0,31,65,6,15,16,22,14,18,15,6,9,1,17,26,50,5,13,12,17,10,23,10,18,4,13,20
2009,137,1173,68,1452,60,N,0,25,54,4,10,14,23,13,19,14,9,5,2,22,18,49,5,20,19,25,15,22,10,11,2,4,21
2009,137,1242,84,1295,74,N,0,32,64,4,12,16,20,10,29,17,5,5,2,17,26,62,10,24,12,15,9,25,9,9,3,4,21
2009,137,1257,74,1287,54,N,0,29,50,10,24,6,11,8,21,19,19,9,4,16,20,52,4,11,10,14,13,14,12,20,4,1,10
2009,137,1266,58,1429,57,N,0,17,47,5,19,19,23,10,22,7,9,4,2,14,22,53,7,23,6,8,7,19,11,9,2,3,21
2009,137,1277,77,1352,62,N,0,28,61,4,13,17,23,17,32,15,10,6,4,15,25,61,5,17,7,13,8,20,16,6,8,7,17
2009,137,1281,78,1165,59,N,0,28,59,5,20,17,19,9,28,19,4,4,1,11,23,64,6,21,7,12,17,23,11,9,1,0,15
2009,137,1329,77,1397,75,N,0,30,53,7,21,10,13,8,23,13,12,5,0,19,24,56,11,33,16,21,11,17,16,11,4,1,16
2009,137,1338,72,1190,62,N,0,24,55,7,19,17,23,9,38,16,18,5,3,16,23,75,4,22,12,24,20,24,12,9,6,3,17
2009,137,1373,74,1326,72,N,2,24,72,6,24,20,28,23,30,13,22,9,3,18,24,60,7,25,17,23,9,28,15,20,5,7,21
2009,137,1393,59,1372,44,N,0,25,55,2,16,7,10,12,43,14,21,3,11,12,18,73,2,21,6,10,14,20,10,6,10,1,11
2009,137,1425,72,1130,55,N,0,27,51,4,9,14,19,11,24,19,13,7,6,18,18,55,6,23,13,14,13,17,13,15,5,3,21
2009,137,1458,61,1199,59,N,1,22,54,9,27,8,12,5,21,10,9,4,2,16,20,46,4,13,15,18,4,29,6,15,6,4,16
2009,137,1462,77,1340,59,N,0,29,54,8,19,11,18,10,24,12,7,5,2,17,22,46,8,21,7,16,4,17,12,11,6,2,18
2009,138,1163,92,1401,66,N,0,33,57,5,10,21,27,12,27,20,9,3,5,16,26,63,3,15,11,17,12,16,17,7,3,3,21
2009,138,1181,74,1400,69,N,0,23,53,7,14,21,27,12,19,9,9,8,2,20,25,50,3,12,16,25,13,23,8,15,5,3,23
2009,138,1211,83,1443,81,N,0,30,60,9,21,14,19,9,22,18,11,4,4,12,32,62,12,25,5,14,10,21,14,11,4,5,20
2009,138,1272,89,1268,70,N,0,31,53,10,19,17,22,8,27,21,13,6,3,17,27,62,5,14,11,19,11,16,9,7,8,3,17
2009,138,1314,84,1261,70,N,0,32,59,6,13,14,18,11,21,13,10,11,5,9,29,64,9,22,3,6,16,17,12,15,5,4,16
2009,138,1328,73,1276,63,N,0,25,51,6,19,17,27,13,22,18,11,5,4,13,22,56,10,27,9,11,14,20,12,14,5,1,23
2009,138,1345,76,1449,74,N,0,25,64,7,16,19,23,15,25,15,11,5,7,21,28,67,4,12,14,19,16,24,13,9,4,3,20
2009,138,1437,89,1417,69,N,0,31,67,8,25,19,27,16,25,20,11,11,1,22,20,47,9,24,20,30,7,21,14,20,7,3,21
2009,139,1112,71,1156,57,N,0,22,44,3,11,24,28,6,27,12,11,8,3,19,22,59,3,23,10,14,12,18,3,11,7,1,18
2009,139,1242,60,1173,43,N,0,23,53,3,16,11,22,11,39,9,17,5,12,11,16,72,4,19,7,8,17,26,7,11,13,6,23
2009,139,1257,79,1373,72,N,0,32,65,9,20,6,13,19,28,18,17,3,7,13,29,69,7,24,7,10,13,19,17,9,8,1,14
2009,139,1277,74,1425,69,N,0,22,51,6,13,24,31,12,24,20,16,5,1,18,23,57,1,10,22,26,12,18,10,11,10,5,21
2009,139,1281,83,1266,79,N,0,31,64,7,22,14,20,10,20,14,7,6,4,23,23,60,5,14,28,33,16,25,8,12,4,0,17
2009,139,1338,84,1329,76,N,0,28,57,11,28,17,26,19,22,18,14,2,5,12,26,54,12,28,12,12,5,16,18,9,8,1,21
2009,139,1393,78,1113,67,N,0,26,47,9,20,17,21,4,29,18,10,4,0,15,20,49,13,35,14,22,7,17,17,10,2,2,17
2009,139,1462,60,1458,49,N,0,18,46,6,14,18,26,7,30,12,14,4,5,20,16,56,3,20,14,17,7,23,5,7,5,2,23
2009,143,1163,72,1345,60,N,0,25,56,3,8,19,30,14,34,19,13,6,6,12,24,66,6,23,6,11,9,24,12,9,7,2,26
2009,143,1281,102,1272,91,N,0,33,62,6,16,30,45,12,25,17,12,9,3,24,35,69,3,15,18,32,15,25,16,14,8,6,25
2009,143,1338,60,1462,55,N,0,22,65,4,15,12,19,18,26,9,9,9,3,13,21,64,5,23,8,10,17,27,9,10,4,7,17
2009,143,1437,77,1181,54,N,0,27,64,4,18,19,23,13,36,9,12,5,5,23,16,60,5,27,17,24,8,26,7,11,8,2,24
2009,144,1257,103,1112,64,N,0,38,66,14,29,13,14,11,25,29,9,10,3,15,24,63,7,24,9,13,15,17,15,14,5,1,13
2009,144,1277,67,1242,62,N,0,23,59,5,15,16,17,13,18,17,13,13,2,16,24,53,3,12,11,13,13,24,11,19,7,4,17
2009,144,1314,98,1211,77,N,0,36,68,11,19,15,27,11,31,23,9,8,4,17,27,58,7,23,16,23,4,27,10,12,6,5,19
2009,144,1328,84,1393,71,N,0,32,59,9,21,11,18,15,21,19,18,11,3,14,27,60,7,24,10,14,14,15,13,18,10,2,10
2009,145,1163,82,1281,75,N,0,27,53,2,12,26,32,11,36,15,17,3,8,13,32,76,5,18,6,12,12,20,21,6,10,1,24
2009,145,1437,78,1338,76,N,0,25,56,6,20,22,23,13,20,9,13,6,5,24,25,52,5,18,21,29,10,18,14,11,4,3,18
2009,146,1277,64,1257,52,N,0,24,52,8,16,8,11,13,24,19,12,7,1,22,18,47,6,16,10,18,11,18,12,12,7,5,15
2009,146,1314,72,1328,60,N,0,26,51,5,14,15,16,6,21,13,12,9,2,19,24,54,2,19,10,16,12,19,9,16,6,0,20
2009,152,1277,82,1163,73,N,0,31,72,6,19,14,20,18,24,18,11,11,3,25,25,59,2,6,21,33,16,26,8,16,5,7,18
2009,152,1314,83,1437,69,N,0,25,62,11,22,22,37,14,34,16,12,6,6,20,26,79,5,27,12,16,22,31,8,12,7,3,26
2009,154,1314,89,1277,72,N,0,28,61,5,12,28,40,11,24,13,7,9,0,22,22,55,7,23,21,29,13,29,13,21,1,5,28
2010,134,1115,61,1457,44,N,0,17,44,6,16,21,28,10,29,12,10,3,7,16,16,55,2,21,10,18,14,20,5,7,3,5,22
2010,136,1124,68,1358,59,N,0,26,59,5,20,11,17,8,39,18,14,8,2,18,23,68,6,31,7,13,8,29,20,11,7,1,20
2010,136,1139,77,1431,59,N,0,23,50,13,31,18,28,8,24,14,10,6,1,13,24,57,4,18,7,9,6,24,15,14,8,1,24
2010,136,1140,99,1196,92,N,2,32,65,10,23,25,32,10,23,11,12,12,2,17,34,78,10,32,14,19,20,25,15,21,7,4,24
2010,136,1242,90,1250,74,N,0,38,69,9,21,5,10,14,27,17,14,10,11,18,25,62,7,19,17,21,13,20,11,13,6,4,16
2010,136,1243,82,1317,62,N,0,31,61,7,18,13,20,17,23,12,11,9,10,25,17,55,5,19,23,31,19,17,8,16,2,0,17
2010,136,1246,100,1190,71,N,0,31,60,15,33,23,34,11,33,27,14,8,11,24,23,64,4,17,21,37,15,25,11,14,11,1,23
2010,136,1293,66,1435,65,N,0,25,60,7,15,9,17,15,24,13,11,4,4,21,22,50,4,12,17,29,10,23,15,10,4,4,17
2010,136,1307,62,1285,57,N,0,22,53,5,20,13,23,10,21,14,6,8,3,14,22,54,6,21,7,12,11,26,17,12,5,2,21
2010,136,1320,69,1424,66,N,0,20,45,9,19,20,23,13,22,11,16,7,2,16,25,58,9,22,7,12,15,13,12,8,9,2,20
2010,136,1325,97,1207,83,N,0,32,55,13,23,20,26,8,18,15,12,6,3,18,31,61,8,22,13,19,14,17,14,18,5,5,21
2010,136,1330,51,1323,50,N,0,20,48,3,13,8,12,9,22,11,8,7,2,9,21,59,6,26,2,3,16,22,12,10,6,2,14
2010,136,1388,80,1350,71,N,0,26,53,8,19,20,28,19,21,11,13,5,3,15,25,53,10,21,11,13,4,13,10,9,6,2,23
2010,136,1397,62,1361,59,N,0,20,52,8,17,14,18,13,19,10,11,3,3,19,20,52,3,18,16,21,11,22,10,10,3,6,16
2010,136,1437,73,1352,70,N,1,18,51,6,22,31,40,11,18,9,16,13,10,19,22,55,5,20,21,26,11,24,8,21,10,2,31
2010,136,1448,81,1400,80,N,1,30,70,6,18,15,24,20,39,15,20,2,4,24,26,69,8,24,20,33,10,24,11,5,11,4,20
2010,136,1449,80,1266,78,N,0,30,55,9,14,11,16,7,21,21,12,4,6,15,27,51,12,19,12,15,5,17,16,13,8,1,17
2010,137,1143,77,1257,62,N,0,26,51,8,15,17,22,7,21,17,14,8,3,14,26,60,5,19,5,9,15,22,13,15,9,1,19
2010,137,1165,78,1396,65,N,0,27,48,9,23,15,19,10,20,10,11,7,2,12,27,52,5,17,6,9,7,13,14,11,3,4,20
2010,137,1181,73,1115,44,N,0,24,47,6,13,19,28,13,28,12,14,5,4,12,17,53,4,19,6,7,9,15,8,16,7,4,19
2010,137,1210,64,1329,59,N,0,19,44,2,10,24,25,10,22,11,13,8,1,15,22,44,6,22,9,13,3,14,12,11,8,1,20
2010,137,1211,67,1199,60,N,0,21,42,3,10,22,30,6,32,11,15,5,5,19,21,59,6,20,12,20,11,21,15,8,7,4,22
2010,137,1268,89,1222,77,N,0,32,68,4,17,21,25,17,33,18,10,2,4,20,25,60,7,20,20,32,9,20,7,6,6,1,19
2010,137,1277,70,1308,67,N,0,20,53,7,19,23,33,14,26,16,9,5,4,22,23,57,8,21,13,22,15,25,8,11,7,3,23
2010,137,1281,86,1155,78,N,0,30,58,5,17,21,29,9,21,21,9,15,3,16,28,63,12,24,10,14,18,23,14,20,2,1,22
2010,137,1326,68,1364,51,N,0,21,52,10,22,16,18,8,30,14,9,5,12,12,20,62,6,19,5,7,12,23,11,9,6,2,16
2010,137,1338,89,1324,66,N,0,30,56,4,12,25,36,9,29,18,15,10,1,26,19,57,4,21,24,32,11,21,8,17,8,1,25
2010,137,1345,72,1373,64,N,0,27,59,5,17,13,19,6,32,21,14,8,7,14,23,70,3,12,15,18,15,30,9,14,7,1,16
2010,137,1393,79,1436,56,N,0,30,55,10,22,9,11,13,27,24,16,8,8,14,23,66,5,22,5,10,16,13,13,9,8,1,11
2010,137,1401,69,1429,53,N,0,25,51,8,18,11,14,7,32,12,11,4,1,13,24,62,5,20,0,4,10,21,8,9,4,3,18
2010,137,1452,77,1288,50,N,0,24,58,4,15,25,31,14,35,20,9,7,4,16,18,61,3,19,11,20,13,25,3,12,6,7,22
2010,137,1458,53,1459,49,N,0,20,54,1,9,12,19,10,20,3,4,7,0,14,20,48,3,7,6,13,11,26,7,11,1,2,15
2010,137,1462,65,1278,54,N,0,23,67,7,20,12,19,20,30,15,6,6,3,16,19,62,7,26,9,14,16,25,14,8,2,11,18
2010,138,1124,76,1330,68,N,0,28,54,8,20,12,17,11,19,15,13,8,6,19,23,53,6,13,16,22,14,17,16,14,9,3,18
2010,138,1139,54,1293,52,N,0,18,50,7,20,11,19,7,15,10,6,6,1,14,19,44,9,14,5,12,11,28,12,18,3,3,17
2010,138,1243,84,1140,72,N,0,23,56,11,27,27,30,15,24,14,15,7,3,20,21,53,5,16,25,28,9,20,12,13,7,2,24
2010,138,1246,90,1448,60,N,0,38,63,7,21,7,17,14,28,21,11,6,6,21,21,64,2,15,16,26,19,15,12,11,6,3,17
2010,138,1320,69,1242,67,N,0,22,55,9,26,16,19,11,19,11,9,9,1,16,24,54,6,23,13,18,14,24,9,15,5,3,19
2010,138,1388,75,1437,68,N,0,24,48,7,19,20,26,6,27,6,12,2,3,12,25,69,7,19,11,11,15,17,9,7,5,2,18
2010,138,1397,83,1325,68,N,0,34,60,5,14,10,18,11,30,21,16,8,3,22,22,58,10,26,14,26,14,19,15,14,9,1,17
2010,138,1449,82,1307,64,N,0,32,66,8,17,10,20,12,28,21,5,6,7,18,26,66,5,17,7,17,13,25,7,11,1,1,18
2010,139,1165,87,1458,69,N,0,33,54,8,15,13,16,9,20,14,8,8,1,14,24,49,8,25,13,17,8,13,13,10,6,1,16
2010,139,1181,68,1143,53,N,0,27,57,3,17,11,17,11,23,11,5,4,5,15,19,48,3,12,12,16,9,24,6,11,3,1,18
2010,139,1277,85,1268,83,N,0,32,58,10,18,11,14,13,29,18,19,3,5,19,29,66,9,19,16,20,10,14,20,6,8,0,14
2010,139,1326,75,1210,66,N,0,25,51,8,21,17,23,7,22,17,18,8,3,17,24,58,4,20,14,19,12,21,14,21,12,0,24
2010,139,1345,63,1401,61,N,1,26,63,6,17,5,6,5,34,11,12,12,6,18,23,65,5,17,10,17,14,31,14,14,8,3,13
2010,139,1393,87,1211,65,N,0,29,53,12,25,17,23,8,30,17,15,4,2,17,25,60,3,21,12,20,11,16,14,11,8,3,18
2010,139,1452,68,1281,59,N,0,19,47,5,15,25,33,13,28,12,10,4,5,16,20,61,7,21,12,20,17,21,13,7,6,8,23
2010,139,1462,71,1338,68,N,0,24,50,8,16,15,23,5,26,9,7,4,3,16,25,64,7,21,11,18,15,25,12,9,4,4,18
2010,143,1139,63,1393,59,N,0,21,52,6,24,15,21,5,23,9,7,13,2,15,21,48,7,19,10,14,8,30,12,18,4,1,16
2010,143,1243,101,1462,96,N,2,37,78,8,19,19,29,16,24,19,12,5,11,25,31,72,12,28,22,29,19,32,12,16,8,4,28
2010,143,1246,62,1165,45,N,0,22,50,2,16,16,26,13,28,15,13,12,6,17,16,48,5,21,8,13,7,21,8,15,6,3,22
2010,143,1452,69,1449,56,N,0,26,65,4,15,13,17,23,26,14,23,11,4,15,22,56,3,11,9,14,11,18,11,21,14,8,20
2010,144,1124,72,1388,49,N,0,28,61,8,17,8,10,15,26,14,7,8,1,9,19,54,6,22,5,8,10,19,14,10,1,4,12
2010,144,1181,70,1345,57,N,0,22,55,6,15,20,24,16,32,11,14,4,2,20,20,54,4,15,13,21,7,20,12,7,7,6,21
2010,144,1277,59,1320,52,N,0,19,44,7,19,14,19,6,26,15,10,8,3,19,17,44,4,16,14,21,4,22,4,10,6,3,13
2010,144,1397,76,1326,73,N,0,30,64,4,15,12,15,20,21,15,16,6,3,20,25,58,9,23,14,19,13,16,14,11,6,3,16
2010,145,1139,63,1243,56,N,0,21,46,7,15,14,20,12,29,9,20,7,1,16,22,57,5,15,7,14,11,18,8,13,11,6,19
2010,145,1452,73,1246,66,N,0,20,52,10,23,23,34,10,26,14,12,5,6,22,23,67,4,32,16,29,24,27,10,16,6,4,27
2010,146,1181,78,1124,71,N,0,22,61,11,23,23,29,23,20,15,11,7,0,15,27,59,5,18,12,19,17,20,14,11,8,8,21
2010,146,1277,70,1397,69,N,0,24,52,6,18,16,21,13,14,12,11,8,8,20,24,47,7,16,14,21,10,17,11,10,6,3,15
2010,152,1139,52,1277,50,N,0,15,49,5,21,17,24,11,21,5,8,12,2,17,18,42,4,11,10,18,8,28,11,16,3,4,21
2010,152,1181,78,1452,57,N,0,29,55,13,25,7,9,11,18,20,6,5,1,16,19,46,5,12,14,19,11,16,11,10,1,4,12
2010,154,1181,61,1139,59,N,0,23,52,5,17,10,16,11,26,12,12,5,7,14,20,58,6,18,13,18,14,21,7,8,4,0,18
2011,134,1155,70,1412,52,N,0,26,50,4,13,14,16,4,25,17,12,10,2,12,18,48,12,24,4,7,7,22,10,19,4,3,10
2011,134,1421,81,1114,77,N,1,27,54,4,12,23,28,6,29,17,15,6,1,25,24,56,9,29,20,26,7,26,19,16,6,2,24
2011,135,1427,70,1106,61,N,0,23,54,4,16,20,30,10,30,14,13,4,0,14,22,62,7,26,10,12,11,28,13,12,6,3,22
2011,135,1433,59,1425,46,N,0,20,59,9,24,10,15,17,23,11,9,5,3,24,15,38,1,9,15,25,5,26,4,15,2,6,20
2011,136,1139,60,1330,58,N,0,22,54,7,26,9,11,18,14,11,15,8,1,21,16,45,5,15,21,27,13,16,8,15,9,2,17
2011,136,1140,74,1459,66,N,0,24,61,6,22,20,24,10,29,14,10,9,1,22,22,56,4,19,18,24,7,29,12,13,4,4,20
2011,136,1153,78,1281,63,N,0,29,54,4,11,16,22,13,23,14,11,3,2,15,24,63,6,19,9,13,15,16,15,9,7,3,18
2011,136,1163,81,1137,52,N,0,32,66,9,24,8,9,13,36,20,6,5,6,13,16,51,7,21,13,15,1,22,6,5,3,1,10
2011,136,1196,79,1364,51,N,0,29,53,8,23,13,17,9,26,22,12,11,2,15,17,47,5,19,12,18,8,18,8,17,7,3,17
2011,136,1211,86,1385,71,N,0,28,52,9,15,21,26,12,31,20,15,6,2,15,27,58,7,15,10,15,5,15,9,10,10,4,22
2011,136,1243,73,1429,68,N,0,22,54,5,17,24,28,12,21,14,11,2,1,17,23,50,6,18,16,21,8,21,10,12,2,2,25
2011,136,1246,59,1343,57,N,0,24,47,5,11,6,11,6,20,12,9,5,7,8,24,52,3,14,6,7,8,20,8,6,8,2,11
2011,136,1287,62,1257,61,N,0,21,57,9,19,11,18,17,24,11,18,12,1,13,22,48,10,25,7,16,6,23,14,16,14,7,18
2011,136,1338,74,1421,51,N,0,25,59,8,19,16,25,22,28,18,12,4,1,16,17,55,3,19,14,19,9,18,9,10,7,6,21
2011,136,1350,69,1435,66,N,0,26,56,12,24,5,12,10,17,14,3,4,9,18,23,46,6,13,14,23,11,25,12,7,1,2,14
2011,136,1361,68,1294,50,N,0,27,66,9,22,5,8,15,30,11,4,5,5,8,19,56,8,22,4,8,9,24,8,9,2,0,7
2011,136,1396,66,1336,64,N,0,24,49,5,18,13,15,8,20,10,10,6,5,13,26,54,8,19,4,6,8,18,12,9,4,0,13
2011,136,1417,78,1277,76,N,0,22,48,4,11,30,47,13,26,13,16,7,8,20,25,62,10,25,16,21,15,21,20,16,9,8,28
2011,136,1452,84,1155,76,N,0,27,55,5,13,25,31,14,23,15,11,6,1,21,25,58,5,21,21,26,13,18,15,9,5,3,24
2011,136,1458,72,1125,58,N,0,20,40,12,22,20,25,6,27,13,13,3,2,17,18,49,6,22,16,22,6,16,12,7,7,0,21
2011,137,1112,77,1272,75,N,0,23,50,5,19,26,31,8,21,11,14,8,2,21,26,53,6,15,17,24,10,23,16,15,7,1,24
2011,137,1181,87,1214,45,N,0,32,60,9,19,14,16,9,29,17,9,9,4,11,19,55,4,14,3,7,9,20,4,17,2,1,17
2011,137,1199,57,1401,50,N,0,20,43,4,15,13,20,6,29,14,13,6,10,17,16,51,9,25,9,19,12,21,12,11,6,1,19
2011,137,1206,61,1437,57,N,0,21,52,4,14,15,24,12,24,12,9,3,1,15,19,52,7,22,12,17,10,25,10,9,5,5,19
2011,137,1228,73,1424,62,N,0,28,47,7,13,10,14,5,28,21,15,3,2,17,21,54,7,24,13,19,8,17,10,9,8,0,16
2011,137,1242,72,1131,53,N,0,29,57,9,20,5,8,11,29,19,14,5,1,13,18,51,9,25,8,12,6,19,10,12,6,3,16
2011,137,1266,66,1462,55,N,0,24,45,5,12,13,19,5,21,13,15,6,2,18,21,51,2,13,11,15,11,19,11,15,3,2,19
2011,137,1276,75,1397,45,N,0,33,64,9,26,0,1,12,24,20,11,5,2,17,15,43,3,18,12,16,6,20,10,18,4,5,13
2011,137,1314,102,1254,87,N,0,34,67,3,17,31,42,12,42,21,18,3,10,19,31,85,8,31,17,25,16,23,19,14,11,1,28
2011,137,1323,69,1103,56,N,0,21,47,7,17,20,26,6,35,16,14,5,5,11,23,64,7,21,3,6,8,24,10,8,6,4,21
2011,137,1326,75,1427,46,N,0,29,52,12,24,5,8,11,24,26,13,5,3,9,18,53,4,17,6,7,11,15,6,13,7,0,13
2011,137,1345,65,1389,43,N,0,23,54,5,15,14,17,14,33,12,16,7,3,13,17,58,5,21,4,6,9,19,9,14,10,2,19
2011,137,1393,77,1232,60,N,0,23,44,7,16,24,31,9,26,17,15,8,4,16,22,55,7,21,9,14,10,15,13,14,7,1,24
2011,137,1400,85,1324,81,N,0,30,63,4,9,21,26,15,27,14,10,4,9,14,33,75,7,29,8,11,17,21,12,7,7,3,17
2011,137,1433,74,1207,56,N,0,18,44,12,25,26,39,8,22,14,6,7,4,16,20,52,5,26,11,13,12,24,12,17,3,1,26
2011,137,1449,68,1208,65,N,0,26,60,4,18,12,14,11,18,10,5,6,1,19,23,50,5,12,14,19,11,25,9,15,3,1,13
2011,138,1139,71,1338,70,N,0,24,52,12,27,11,14,5,17,12,6,2,2,18,26,46,6,11,12,18,7,26,21,12,2,0,18
2011,138,1140,89,1211,67,N,0,31,59,14,28,13,15,4,23,17,8,10,6,19,24,57,2,9,17,21,12,24,18,15,4,5,19
2011,138,1163,69,1153,58,N,0,19,44,6,16,25,30,9,26,10,9,3,3,13,22,55,4,14,10,14,9,16,12,8,5,2,19
2011,138,1196,73,1417,65,N,0,27,54,6,14,13,17,8,24,13,8,2,4,18,23,55,3,13,16,25,14,21,12,8,4,5,14
2011,138,1246,71,1452,63,N,0,24,50,6,18,17,24,9,25,12,10,1,6,19,22,53,7,19,12,16,9,21,9,11,5,2,23
2011,138,1350,65,1287,48,N,0,26,55,4,16,9,13,10,22,18,6,5,4,12,18,48,2,14,10,15,12,22,7,9,4,3,16
2011,138,1361,71,1396,64,N,2,28,65,6,11,9,9,13,29,13,13,6,6,14,25,66,6,14,8,11,13,22,13,11,3,1,15
2011,138,1458,70,1243,65,N,0,21,50,9,20,19,23,10,20,12,5,4,2,18,22,48,6,12,15,22,10,22,7,8,3,0,22
2011,139,1112,70,1400,69,N,0,24,54,8,14,14,22,11,21,17,12,8,2,20,24,53,3,11,18,22,10,23,13,13,5,7,17
2011,139,1181,73,1276,71,N,0,25,49,5,20,18,25,10,23,12,11,1,2,18,27,53,7,21,10,11,4,18,13,7,7,0,23
